Model,CAGR (gross),CAGR (net),Sharpe (gross),Sharpe (net),Max DD,Calmar,Hit Rate,Avg Turnover,IC,ICIR,Sharpe CI_lo,Sharpe CI_hi
BuyAndHold_SPY,14.86,14.86,0.765,0.765,33.72,0.441,54.84,0.0,,,-0.122,1.682
EqualWeight,6.82,6.82,0.515,0.515,26.32,0.259,53.88,0.0,,,-0.388,1.446
LogisticRegression,7.04,-24.46,0.469,-1.439,21.33,0.33,50.2,0.6899,0.0104,0.037,-0.434,1.347
LinearRegression,6.21,-24.05,0.432,-1.461,18.93,0.328,51.56,0.6641,0.0147,0.0514,-0.484,1.354
Ridge,6.21,-24.05,0.432,-1.461,18.93,0.328,51.56,0.6641,0.0147,0.0514,-0.484,1.354
RandomForest,4.47,-21.66,0.372,-1.557,28.55,0.157,49.4,0.57,0.0045,0.0192,-0.559,1.288
Ensemble,4.73,-24.95,0.347,-1.478,22.66,0.209,50.52,0.6598,0.0111,0.0398,-0.571,1.273
MLP,3.3,-20.55,0.294,-1.439,26.0,0.127,50.28,0.5194,0.0054,0.0236,-0.57,1.087
LightGBM,3.34,-22.02,0.29,-1.511,24.02,0.139,49.0,0.5579,0.0072,0.0279,-0.647,1.204
MomentumBaseline,0.67,-15.1,0.134,-0.693,39.44,0.017,51.48,0.3369,-0.0107,-0.0363,-0.752,1.013
MeanReversionBaseline,-4.69,-19.59,-0.134,-0.969,44.77,-0.105,48.44,0.3369,0.0107,0.0363,-1.013,0.752
LSTM,-3.53,-27.21,-0.167,-2.0,25.95,-0.136,50.04,0.5571,0.0093,0.0417,-1.066,0.735
