Model,LS Sharpe(g),LS Sharpe(n),LS CAGR(g)%,LO Sharpe(g),LO Sharpe(n),LO CAGR(g)%
LinearRegression,0.432,-1.461,6.21,0.679,-0.366,10.2
Ridge,0.432,-1.461,6.21,0.679,-0.366,10.2
LogisticRegression,0.469,-1.439,7.04,0.679,-0.353,10.57
RandomForest,0.372,-1.557,4.47,0.499,-0.36,7.13
LightGBM,0.29,-1.511,3.34,0.649,-0.126,10.55
MLP,0.294,-1.439,3.3,0.615,-0.193,9.88
LSTM,-0.167,-2.0,-3.53,0.224,-0.537,2.44
MomentumBaseline,0.134,-0.693,0.67,0.554,-0.056,7.01
MeanReversionBaseline,-0.134,-0.969,-4.69,0.263,-0.187,3.2
BuyAndHold_SPY,0.765,0.765,14.86,0.0,0.0,0.0
EqualWeight,0.515,0.515,6.82,0.0,0.0,0.0
Ensemble,0.347,-1.478,4.73,0.652,-0.337,10.19
