Model,Top-K,Sharpe (gross),Sharpe (net),Avg Turnover
LogisticRegression,3,0.949,-0.587,0.7695
LogisticRegression,5,1.028,-0.709,0.7491
LogisticRegression,10,0.469,-1.439,0.6899
LogisticRegression,15,0.601,-1.382,0.6277
LogisticRegression,20,0.576,-1.549,0.5513
LightGBM,3,-0.08,-1.603,0.6566
LightGBM,5,0.098,-1.674,0.6456
LightGBM,10,0.29,-1.511,0.5579
LightGBM,15,0.202,-1.718,0.4785
LightGBM,20,0.122,-1.715,0.411
MLP,3,0.553,-0.955,0.6732
MLP,5,0.418,-1.29,0.6242
MLP,10,0.294,-1.439,0.5194
MLP,15,0.383,-1.297,0.4438
MLP,20,0.223,-1.343,0.3786
LSTM,3,0.351,-1.062,0.6597
LSTM,5,0.163,-1.461,0.6349
LSTM,10,-0.167,-2.0,0.5571
LSTM,15,-0.082,-1.995,0.4862
LSTM,20,-0.261,-2.225,0.4147
Ensemble,3,0.607,-0.911,0.7482
Ensemble,5,0.37,-1.342,0.7248
Ensemble,10,0.347,-1.478,0.6598
Ensemble,15,0.42,-1.47,0.5952
Ensemble,20,0.456,-1.524,0.5219
